ID,...1,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,hsa-miR-3940-3p,102.762175287948,3.63232902612094,0.960480901968013,3.78178162489056,1.5570993110636e-4,0.0633739419602904
2,hsa-miR-96-5p,365.985506904731,3.21168616101895,0.967380526903745,3.31998223211962,9.0023177460379e-4,0.183197166131872
3,hsa-miR-150-5p,906.393360359181,-2.43452631950409,0.81960384466842,-2.97036956981211,0.00297441682194615,0.403529215510694
4,hsa-miR-183-5p,1060.93670666641,2.06659870550362,0.760675457590402,2.71679424501219,0.00659175725653033,0.670711300851961
5,hsa-miR-100-5p,415.234287548454,-1.78762546278841,0.681167240138887,-2.62435618956648,0.00868129449886758,0.706657372207821
6,hsa-let-7a-5p,6035.69240027386,0.173675341602871,0.817602373789221,0.212420300100112,0.831779149942311,0.996644297020116
7,hsa-let-7a-3p,67.3220542628212,0.105712363350212,0.848442538976063,0.124595784032458,0.900843566242949,0.996644297020116
8,hsa-let-7b-5p,727.528276342562,0.148748714926742,0.921032343189179,0.161502162249463,0.871697908484363,0.996644297020116
9,hsa-let-7b-3p,54.0085881658613,-0.452026237883147,0.844591881859265,-0.535200784653609,0.592511023782405,0.996644297020116
10,hsa-let-7c-5p,57.8498567201027,0.10680497035192,0.87283178439898,0.122366041499582,0.902609131323585,0.996644297020116
11,hsa-let-7d-5p,787.461546249062,0.13362472232898,0.817705048280065,0.163414329665742,0.87019222109688,0.996644297020116
12,hsa-let-7d-3p,204.879747649642,0.983803528924074,0.788179574620284,1.24819718830957,0.211958853388443,0.996644297020116
13,hsa-let-7e-5p,3.67398375375487,-0.120645397970557,1.84645081432717,-0.0653390802692566,0.947904027251953,0.996644297020116
14,hsa-let-7f-5p,6945.31008995415,0.570454773934187,0.954171541415583,0.597853477256171,0.549937704385348,0.996644297020116
15,hsa-let-7f-1-3p,25.4851486361791,0.490950504702281,0.992751397070901,0.494535193957746,0.620928257559535,0.996644297020116
16,hsa-let-7f-2-3p,30.7184397602455,0.153900562275801,1.03301798053498,0.148981494200226,0.881568235478748,0.996644297020116
17,hsa-miR-15a-5p,4235.19436274355,0.184266937635331,0.894845301810333,0.205920439278774,0.836853059350146,0.996644297020116
18,hsa-miR-16-5p,67077.1674335547,0.0114282301950949,0.812820279114732,0.0140599717904944,0.988782135180759,0.996644297020116
19,hsa-miR-17-5p,353.940175681915,0.520816735398025,0.844920195803182,0.616409381601934,0.537624363066262,0.996644297020116
20,hsa-miR-17-3p,177.843292964778,0.460835694105572,0.712190596404973,0.64706792877047,0.517587980763093,0.996644297020116
