"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-3940-3p",102.762175287948,3.63232902612094,0.960480901968013,3.78178162489056,0.000155709931106365,0.0633739419602904
"hsa-miR-96-5p",365.985506904731,3.21168616101895,0.967380526903745,3.31998223211962,0.000900231774603794,0.183197166131872
"hsa-miR-150-5p",906.393360359181,-2.43452631950409,0.81960384466842,-2.97036956981211,0.00297441682194615,0.403529215510694
"hsa-miR-183-5p",1060.93670666641,2.06659870550362,0.760675457590402,2.71679424501219,0.00659175725653033,0.670711300851961
"hsa-miR-100-5p",415.234287548454,-1.78762546278841,0.681167240138887,-2.62435618956648,0.00868129449886758,0.706657372207821
"hsa-let-7a-5p",6035.69240027386,0.173675341602871,0.817602373789221,0.212420300100112,0.831779149942311,0.996644297020116
"hsa-let-7a-3p",67.3220542628212,0.105712363350212,0.848442538976063,0.124595784032458,0.900843566242949,0.996644297020116
"hsa-let-7b-5p",727.528276342562,0.148748714926742,0.921032343189179,0.161502162249463,0.871697908484363,0.996644297020116
"hsa-let-7b-3p",54.0085881658613,-0.452026237883147,0.844591881859265,-0.535200784653609,0.592511023782405,0.996644297020116
"hsa-let-7c-5p",57.8498567201027,0.10680497035192,0.87283178439898,0.122366041499582,0.902609131323585,0.996644297020116
"hsa-let-7d-5p",787.461546249062,0.13362472232898,0.817705048280065,0.163414329665742,0.87019222109688,0.996644297020116
"hsa-let-7d-3p",204.879747649642,0.983803528924074,0.788179574620284,1.24819718830957,0.211958853388443,0.996644297020116
"hsa-let-7e-5p",3.67398375375487,-0.120645397970557,1.84645081432717,-0.0653390802692566,0.947904027251953,0.996644297020116
"hsa-let-7f-5p",6945.31008995415,0.570454773934187,0.954171541415583,0.597853477256171,0.549937704385348,0.996644297020116
"hsa-let-7f-1-3p",25.4851486361791,0.490950504702281,0.992751397070901,0.494535193957746,0.620928257559535,0.996644297020116
"hsa-let-7f-2-3p",30.7184397602455,0.153900562275801,1.03301798053498,0.148981494200226,0.881568235478748,0.996644297020116
"hsa-miR-15a-5p",4235.19436274355,0.184266937635331,0.894845301810333,0.205920439278774,0.836853059350146,0.996644297020116
"hsa-miR-16-5p",67077.1674335547,0.0114282301950949,0.812820279114732,0.0140599717904944,0.988782135180759,0.996644297020116
"hsa-miR-17-5p",353.940175681915,0.520816735398025,0.844920195803182,0.616409381601934,0.537624363066262,0.996644297020116
"hsa-miR-17-3p",177.843292964778,0.460835694105572,0.712190596404973,0.64706792877047,0.517587980763093,0.996644297020116
"hsa-miR-18a-5p",79.8921347790758,0.567926132262695,1.02873965658346,0.55206011416808,0.580907167796728,0.996644297020116
"hsa-miR-18a-3p",285.799778136635,0.361041365896363,0.679271743138183,0.531512416854527,0.595063739141446,0.996644297020116
"hsa-miR-19a-3p",823.3153733793,1.26592219495995,0.774594883230978,1.634302294484,0.10219539214886,0.996644297020116
"hsa-miR-19b-3p",7715.68356130512,0.834165837045218,0.77487109384226,1.07652207402516,0.28169383413172,0.996644297020116
"hsa-miR-20a-5p",190.605161070863,0.582548120548349,1.06719717128438,0.545867376922719,0.585157104661171,0.996644297020116
"hsa-miR-21-5p",1605.53645117513,0.170789579906897,0.83454230951933,0.204650594653813,0.837845123071719,0.996644297020116
"hsa-miR-21-3p",157.400176490382,0.662418684022016,0.719567677062333,0.920578710158813,0.357270421663257,0.996644297020116
"hsa-miR-22-5p",28.6529355456991,-0.043107080096054,0.919655434965937,-0.0468730770863661,0.962614385874026,0.996644297020116
"hsa-miR-22-3p",84508.0761176503,0.294177384719333,0.684413126168525,0.429824288096569,0.667323463637132,0.996644297020116
"hsa-miR-23a-3p",299.488705232626,0.906896835013063,0.738058053494995,1.22876084166896,0.21916148719687,0.996644297020116
"hsa-miR-24-3p",72.9345277378326,-0.228728549364836,0.796232929600968,-0.287263363347034,0.773910672764971,0.996644297020116
"hsa-miR-25-3p",47871.1053493092,0.201109564325133,0.653770382970662,0.307614981595392,0.758375318991198,0.996644297020116
"hsa-miR-26a-5p",17016.8720096356,-0.0946587040032725,0.681584954591093,-0.138880272173939,0.889544760404502,0.996644297020116
"hsa-miR-26b-5p",1773.97582253647,-0.124526860822162,0.848249975325282,-0.146804437895102,0.883286381706486,0.996644297020116
"hsa-miR-26b-3p",102.308118289812,-0.713613563215084,0.756167030035157,-0.943724778878425,0.345310308242916,0.996644297020116
"hsa-miR-27a-3p",211.664473864703,0.827951352156049,0.708303981509561,1.16892093475388,0.242435488073694,0.996644297020116
"hsa-miR-28-5p",69.8311586942618,-0.340501584320415,0.784904024117728,-0.433813018990642,0.664424226802397,0.996644297020116
"hsa-miR-28-3p",340.78489360999,-0.177477811320072,0.71261373893728,-0.249051907958924,0.80332062935123,0.996644297020116
"hsa-miR-29a-3p",106.967476401288,-0.432730339023805,0.741572743987868,-0.583530533628787,0.559536208456222,0.996644297020116
"hsa-miR-30a-5p",102.274424500179,-2.11467630670099,0.96018626885702,-2.20236049534248,0.0276398540646966,0.996644297020116
"hsa-miR-30a-3p",6.18674234427341,-0.205603831064541,1.48810749763233,-0.1381646362186,0.890110303209443,0.996644297020116
"hsa-miR-32-5p",67.2297401662325,0.0255605467225461,1.17294215800112,0.0217918219992239,0.982614017738647,0.996644297020116
"hsa-miR-33a-3p",2.60920549473617,0.503212933881222,2.24321561372441,0.224326600975168,0.822503179010305,0.996644297020116
"hsa-miR-92a-3p",206837.581766048,-0.413036055971864,0.651588222765897,-0.633891223844695,0.526151813409065,0.996644297020116
"hsa-miR-93-5p",5159.56679658517,0.566512319747973,0.848790295648766,0.667434963208391,0.50449433923394,0.996644297020116
"hsa-miR-93-3p",28.5186437900343,-0.0487163237958497,0.910568672808679,-0.053500988174327,0.957332743329467,0.996644297020116
"hsa-miR-98-5p",217.805231628603,0.177947340199107,0.904111408664698,0.196820146824518,0.84396828460378,0.996644297020116
"hsa-miR-98-3p",13.1445597586372,0.367376082718942,1.25156170291643,0.293534135682541,0.769113911485224,0.996644297020116
"hsa-miR-99a-5p",27.3350280077103,-0.0780131597936111,0.94532596031357,-0.0825251427219175,0.934229125521063,0.996644297020116
"hsa-miR-101-3p",975.501924146571,1.11315015189242,0.880808714285403,1.26378194702072,0.206308302596735,0.996644297020116
"hsa-miR-29b-3p",26.6052133252903,0.0233188303967253,0.957272233083524,0.0243596644620221,0.980565721866673,0.996644297020116
"hsa-miR-103a-3p",4320.44640177616,0.191263776036179,0.76937252065112,0.248597098157746,0.80367245338086,0.996644297020116
"hsa-miR-106a-5p",48.4578026976517,0.635233427581804,0.96194740455044,0.660361912280097,0.509021607981641,0.996644297020116
"hsa-miR-107",1772.23080104798,-0.240553535244904,0.743884566728921,-0.323374816475476,0.746411399395831,0.996644297020116
"hsa-miR-16-2-3p",9.10443748218717,-0.884100223283355,1.46608755507537,-0.603033713929796,0.546486261325773,0.996644297020116
"hsa-miR-192-5p",47902.1375667994,-0.260719131369269,0.659104935454011,-0.395565436313533,0.692425639420687,0.996644297020116
"hsa-miR-192-3p",5.61955480424938,1.79214830094018,1.76593422486718,1.01484431056597,0.310180047854966,0.996644297020116
"hsa-miR-197-3p",380.026243392723,0.43805132850458,0.679871614148039,0.644314778538756,0.519371334290518,0.996644297020116
"hsa-miR-199a-5p",47.7945551951986,0.0367716436474002,0.879106688635455,0.0418284198297672,0.966635479085818,0.996644297020116
"hsa-miR-199a-3p",5.94151944579377,1.26284384495819,1.66651322541065,0.757776071442218,0.448585049585108,0.996644297020116
"hsa-miR-148a-5p",66.2495133834252,-0.0882186774414378,0.875739544708174,-0.100736204016955,0.919759870892906,0.996644297020116
"hsa-miR-148a-3p",4552.61698637185,0.869087607368967,0.675908381915959,1.28580682030516,0.198510489363097,0.996644297020116
"hsa-miR-30c-5p",1175.95083323917,-0.380718617538592,0.720596624797011,-0.528338052715468,0.597264724849854,0.996644297020116
"hsa-miR-30d-5p",11202.594989294,-1.10064312022782,0.663617716110653,-1.65854993546359,0.0972065172570763,0.996644297020116
"hsa-miR-30d-3p",17.5337528680516,-1.18768582602098,1.09384741972965,-1.08578747327898,0.277573029757815,0.996644297020116
"hsa-miR-139-5p",4.55866295819355,-2.04363902690227,1.74403914615106,-1.17178506652927,0.241283359736743,0.996644297020116
"hsa-miR-7-5p",13.9940839236718,0.828778099384954,1.16269767014492,0.71280619258629,0.475965693126745,0.996644297020116
"hsa-miR-7-1-3p",43.9051933335762,0.166245420967113,0.940995095685836,0.176669805963172,0.859767759113883,0.996644297020116
"hsa-miR-10a-5p",554.469717607549,-1.44197002916608,0.707254387386004,-2.03882797319302,0.041467199444059,0.996644297020116
"hsa-miR-10b-5p",44.7712079972589,-0.726015276726527,0.823032447476141,-0.88212230143888,0.377710673366779,0.996644297020116
"hsa-miR-34a-5p",3.5359171326093,4.70052032548203,2.96541898173495,1.58511170071891,0.112940957585298,0.996644297020116
"hsa-miR-181a-5p",7144.52298103343,1.29425469818371,0.851114312962973,1.52065906831955,0.128345415429486,0.996644297020116
"hsa-miR-181a-2-3p",207.08371171634,-0.212265688670007,0.69422356203508,-0.305759844923386,0.759787504207796,0.996644297020116
"hsa-miR-181b-5p",94.5902242946859,0.861272265824191,0.745292610141633,1.15561626950859,0.247838150248667,0.996644297020116
"hsa-miR-181c-5p",70.0796758360888,0.0180255224596003,0.844099082991086,0.0213547471177512,0.9829626718933,0.996644297020116
"hsa-miR-181c-3p",2.41698569761184,1.56992851691057,2.45169008722503,0.640345419305222,0.521948058647701,0.996644297020116
"hsa-miR-182-5p",95751.6266527561,0.936978027495239,0.685646789727182,1.36656080292896,0.171763010348567,0.996644297020116
"hsa-miR-183-3p",42.0399488512093,2.28402871007579,0.972320603165582,2.3490489686629,0.0188214313380818,0.996644297020116
"hsa-miR-199b-5p",43.5978307113118,-0.14829391431343,1.00682228010698,-0.147289067041378,0.882903861600839,0.996644297020116
"hsa-miR-199b-3p",5.76513190988849,2.94229227949709,2.07270824635178,1.41954000746409,0.155741641621045,0.996644297020116
"hsa-miR-210-5p",12.4010962301901,0.265356304778473,1.18767265899665,0.223425455464005,0.823204394414686,0.996644297020116
"hsa-miR-210-3p",377.880245027418,0.475985719186972,0.678215567378004,0.701820692537541,0.482790992521481,0.996644297020116
"hsa-miR-181a-3p",85.8491991705748,0.0123959639380367,0.809584068955742,0.0153115215743139,0.987783650674292,0.996644297020116
"hsa-miR-215-5p",42.3068243829075,-0.359197369710731,0.85926857585356,-0.418026889152696,0.675927457660509,0.996644297020116
"hsa-miR-221-3p",205.368542672584,1.11577621780618,0.864900094291734,1.29006370235153,0.197028541265528,0.996644297020116
"hsa-miR-222-3p",23.5145515884307,0.17492826232735,0.958973739686843,0.182411942150234,0.855259454552043,0.996644297020116
"hsa-miR-223-3p",2247.42224834641,0.351287675719554,0.742410646217482,0.473171657100197,0.636090716976316,0.996644297020116
"hsa-let-7g-5p",2302.90407910136,0.439849172380527,0.89048088034296,0.493945666987396,0.621344551794159,0.996644297020116
"hsa-let-7g-3p",2.56131904828282,1.64401292408408,2.41963631332587,0.679446293242445,0.496855126166214,0.996644297020116
"hsa-let-7i-5p",3393.4576162017,0.621328943218217,0.961936250884636,0.645914885364614,0.518334478967019,0.996644297020116
"hsa-let-7i-3p",58.6725762816176,-0.355382945287033,0.820707045050581,-0.433020463794277,0.664999903228135,0.996644297020116
"hsa-miR-15b-5p",1490.14982850761,0.606778801383133,0.677384280365463,0.895767467552928,0.370376968374776,0.996644297020116
"hsa-miR-15b-3p",221.883832323214,0.479591928315578,0.730158692862146,0.65683245711371,0.511288651896824,0.996644297020116
"hsa-miR-23b-3p",223.75592059042,0.446215931766786,0.734868682106121,0.607204991357012,0.543714880196042,0.996644297020116
"hsa-miR-27b-3p",1716.96866498863,1.2118752475686,0.746528279006401,1.62334807889871,0.104515017149623,0.996644297020116
"hsa-miR-30b-5p",3679.56558777834,-0.0345997866590382,0.714942819506844,-0.0483951803067335,0.961401300364202,0.996644297020116
"hsa-miR-125b-5p",47.7109450123118,-0.126340798116471,0.840562674971587,-0.150305030045192,0.880523964672445,0.996644297020116
